image_name|comment_number|comment
4930069217.jpg| 1| A man in a wheelchair and a blond woman play badminton with three youths .
2315350560.jpg| 4| One woman showing an object to two other women .
2378149488.jpg| 1| A young boy is wearing a paper crown while sitting in a grocery cart .
241109594.jpg| 2| A black and white dog swimming with a stick in its mouth .
359837950.jpg| 4| A dog on rocky terrain
2448793019.jpg| 4| a young child in blue jeans sliding down a blue slide
3457045393.jpg| 3| A woman holding a girl , who wears an apple themed coat .
4543597515.jpg| 1| A man in a jacket and jeans is reading a newspaper while walking down the street .
4871282511.jpg| 4| Two people are on a motorcycle in the rain .
2838085973.jpg| 0| The football player is preparing to make a play with onlookers nearby .
4830853107.jpg| 2| an asian woman in a crowded venue getting ready to snap a picture
84819693.jpg| 0| A man in a coconut palm tree smiles down and seems to offer a coconut to the person taking the picture .
135608578.jpg| 0| A group of children that are either sitting or standing in a line , while two are holding a round object .
8088028369.jpg| 2| A man plays the saxophone in a dark room lit with a red light .
284028406.jpg| 4| A man in winter wear stands near an intersection .
3325578605.jpg| 2| A white crane flies over water .
262439544.jpg| 2| a child in a red shirt hangs upside down from a tree branch
2476503534.jpg| 0| A man is flexing his biceps while standing on a rooftop with multiple chimneys in the background .
3087336221.jpg| 0| A child retrieves something from his desk in his empty classroom .
4466251271.jpg| 2| Man in backpack in tight gray biker shorts bent over .
76605444.jpg| 0| A group of people is setting up plastic poles in the middle of a city .
1517721825.jpg| 3| Three dogs running through water .
4157063493.jpg| 1| a emergency were paramedics and the fire department were called in to help
3883055159.jpg| 3| A group of men is eating pizza in a restaurant .
6299001128.jpg| 3| A brown squirrel sitting on a branch with an acorn during the fall .
3543294190.jpg| 3| Man in a red shirt riding a trick bicycle on only the rear wheel .
2839038702.jpg| 4| brown dog holding stick in mouth
4663240711.jpg| 2| A curly-haired mannequin advertises a special price for corsets .
7277924014.jpg| 4| two guys play soccer and look exhausted
7150152099.jpg| 4| A young woman is pole vaulting .
4808887200.jpg| 3| A big room of people is sitting at a mass lunch .
6872034011.jpg| 3| Ice skiing is a sport where we can play it in a snow .
3562606482.jpg| 4| Two people walking in a field .
1957701886.jpg| 3| A woman in a dress and flip-flops is walking her small dog .
183502317.jpg| 3| A man in a brown shirt is cutting a piece of cake .
4983404972.jpg| 0| Two people stand on the steps of a large outdoor set of stairs made out of stone .
3534548254.jpg| 2| A girl in a yellow shirt is throwing a wet football .
3296500180.jpg| 0| A man jumps a bicycle down a porch stairway too close to the fence .
3712923460.jpg| 4| a bunch of people in camo pants run .
2326666568.jpg| 1| A family is walking along the shore of the beach at sunset .
4767620642.jpg| 3| Two men and a small red vehicle outside a large group of parked bicycles .
6321472404.jpg| 1| The Houston Texans quarterback holds a football against the Minnesota Vikings while his running back moves towards the ball .
158484558.jpg| 0| A man in a dark coat and jeans and a blond woman in a tan coat with a scarf wrapped around her neck are holding hands stopping to look at something .
157397733.jpg| 1| Men wearing red , jackets black hats , and black pants standing in formation .
519259595.jpg| 2| A girl is riding on a tube that is being pulled by a boat .
4373143112.jpg| 3| A man lit in purple light plays a guitar and sings .
4803944197.jpg| 2| A group of dark-skinned children ride down a slide .
3498914375.jpg| 4| Man and women sitting on tree posing for picture .
7347874796.jpg| 0| There is a man in a body of water with some sort of net trying to catch something , the water looks very muddy .
477709663.jpg| 2| Two women are sitting in rose-colored wing back chairs as one points over her shoulder at a colorful human figure .
16448369.jpg| 3| Two groups of people are having conversations , surrounded by trees .
4611115315.jpg| 4| Two hurdlers leaping a hurdle on a track .
2575233295.jpg| 0| A group of dark-skinned , south Asian men sit with their backs against the walls of a room that contains multiple posters as well as a closed window .
6804407509.jpg| 2| Man uses sharp knife to cut small squares out of a soft material .
4598104098.jpg| 0| Two moped enthusiasts , one of which is wearing a purse , have a conversation on the curb .
408233586.jpg| 2| A dog is running through the water chasing after a ball .
4845541718.jpg| 2| A group of people shopping in a fruit and vegetable store .
2171891283.jpg| 0| Two dogs are walking on a rugged path , one with a blue rope tied to a red object in its mouth .
4717017885.jpg| 4| A religious protester holding a sign .
3669635757.jpg| 4| A child is in a ball pit while three adults watch her .
957585444.jpg| 3| The toy in the room is amongst blue chairs .
1475046848.jpg| 1| Blond woman with blue shorts walks along beach carrying shoes in one hand .
7162685234.jpg| 3| Two young , wet boys playing in the sand on a beach .
2768933636.jpg| 2| A crowd is gathered in a large outdoor public space .
2354914657.jpg| 4| There is a truck on fire .
576875301.jpg| 3| People standing outside waiting for the graffiti covered train to pass .
2084217208.jpg| 2| A woman with a helmet riding a bike .
4450689424.jpg| 0| A woman with gray hair , a brown hat , sunglasses , and a yellow scarf is looking away from the camera .
4563644936.jpg| 0| A bearded man plays the xylophone for a group of people on the street , a chest in front of him awaiting donations .
5972938127.jpg| 3| A man playing baseball is jumping against the back wall .
190638179.jpg| 3| Man standing on a dirt hill next to a black jeep .
5954939506.jpg| 1| A group of people gathered together in a field eating barbecued meats while drinking Pepsi .
7200700722.jpg| 3| A young mother and her baby walk along a street .
288261862.jpg| 4| Marching band standing in a public area .
4985424423.jpg| 1| A woman with a shawl and a bag on her head walks among others along the street .
2461990494.jpg| 1| A man , seen from the back , with his head turned to the side wearing a backpack
3134647768.jpg| 4| Woman drinks from a jar just after exiting the shower .
2215767852.jpg| 4| Oranges and apples are for sale at a produce stand .
3058361320.jpg| 0| Woman is working on a loom weaving a patterned carpet of red , white , and blue .
2113870582.jpg| 3| Two women and two men are sitting around a square table eating .
7870403558.jpg| 4| Athletes in a competitive running event .
227000285.jpg| 0| a man with glasses on in a short black shirt and long blue shorts stands in the road in front of a blue car .
43499667.jpg| 3| The shirtless wielder putting on his mask .
4587894743.jpg| 1| A man in black pants and a white shirt is walking down the sidewalk in front of a building that has graffiti on it .
7294349968.jpg| 0| A baseball pitcher wearing a purple and white uniform throwing a baseball from the mound .
753511019.jpg| 2| A young woman sitting down on the ground having a healthy lunch at a hiking trail .
2168809436.jpg| 4| Workers build up a new brick house .
3615730936.jpg| 3| A rider on a dirt bike races through a forest .
4453917511.jpg| 1| An elderly women in a coat walking down the street .
269986132.jpg| 2| Soccer game with teams in red and blue .
3132832452.jpg| 3| A family surrounds a baby in the father 's lap .
3195701071.jpg| 2| a brown dog jumping through the air in a grassy yard .
3484625231.jpg| 1| Male football player in orange and white uniform dodges tackle of another player .
8144894905.jpg| 0| Two guys are wrestling on a mat , with one in a blue uniform , and the other in maroon .
4959476952.jpg| 4| The women are hard at work .
3046861840.jpg| 1| A man in red is sitting atop a mountain and looking into the distance .
662606040.jpg| 4| A dog and a red ball in the air .
2714878018.jpg| 0| A boy wearing swimming trunks jumps over some sprinkler water in a backyard .
5781162449.jpg| 1| Two young girls pose together and display sheets of paper with a line art animal .
69152837.jpg| 0| Two children , a boy and a girl , are running along a beach with tire tracks in the sand .
71651754.jpg| 4| A young girl dressed in bright colors posing outdoors in the woods .
2360775984.jpg| 0| A man looks at a soldier who stands on a platform , as a fan blows on him .
3397090388.jpg| 0| Bagpipes being played while walking in a parade or event on the street .
2438616168.jpg| 4| A boy and girl sitting and laughing on steps outside .
531124063.jpg| 2| A young artist paints a picture of several people kayaking in the lake .
1734643212.jpg| 1| A man in a red button up shirt play a guitar and standing next to a microphone .
8177393638.jpg| 2| Male standing in the roadway , he is wearing a light colored shirt and holding a backpack .
427063077.jpg| 1| Two men , one sitting and lounging , the other standing and talking .
4691275752.jpg| 3| A man walks next to a wall with a painted mural of a green eyed woman .
1952896009.jpg| 2| A woman carrying a purse and a bag with a baby in a backpack walking down a road .
7123721879.jpg| 4| An athletic man runs wearing orange and blue shoes .
4898180180.jpg| 1| A man with a briefcase walking in a area were art was painted on walls .
4500116307.jpg| 3| A woman play hitting a man on a couch in a department store .
632608471.jpg| 3| Eleven girls in white tutus stand and pose on stage .
2117596127.jpg| 1| Pigeon staring at a woman in black boots sitting on a park bench reading a paper .
473220329.jpg| 1| A woman is walking away on a wooden walkway through a field of golden plants .
5468029953.jpg| 0| A little boy wearing a dark blue jacket reaches out to a woman dressed up in a pink and purple costume with white wings , who is standing on street .
224153937.jpg| 4| A blurry image of a crowded street .
2847541837.jpg| 4| Four children playing in the surf of a pebbled beach .
4714815517.jpg| 0| A younger woman stands with another woman at a vegetable stand in front of a white van .
4735982439.jpg| 4| Two ladies sitting on a city bus bench .
2536876757.jpg| 3| A man is standing in front of a large gear .
4825459857.jpg| 1| A chinese man pushes a stack of trays filled with food down a street .
4239908991.jpg| 4| Two men siting down and having a beer .
3178385319.jpg| 3| There is a little boy , playing with Pokemon cards .
4714879695.jpg| 1| Four young women walking down the street with large purses .
532241548.jpg| 1| A tour group wearing rain jackets and holding umbrellas are outside a barbed wire fence .
313326614.jpg| 3| A man in a red jacket is standing at the top of the stadium steps .
516360813.jpg| 4| Man is crashing some nuts with a hammer .
4662903109.jpg| 1| A lady in a white religious gown is being questioned by many people as she walks .
5583005407.jpg| 2| A group of young boys are playing baseball in a foreign country
6080521675.jpg| 4| A man runs through the snow with the aid of snowshoes .
396768260.jpg| 3| A group of people riding on a parade float .
4742170215.jpg| 2| A large group of people in shorts walk outside in front of a capitol building .
4817876923.jpg| 0| A man with a bicycle asks for directions from three older folks which are also riding bikes .
527076501.jpg| 2| A man painting a picture of buildings , people , and animals .
2513260012.jpg| 0| A black dog is running after a white dog in the snow .
2542355262.jpg| 2| A boy in a blue print shirt is holding a can .
3442006834.jpg| 1| A man with a black top and a gray bag is using poles to walk in a body of water .
106514190.jpg| 3| A skier is overlooking a snow-covered mountain .
4145725901.jpg| 0| Three boys are together while one is taking a picture with his camera .
2330765551.jpg| 0| A man and a woman ride bicycles away from the camera as they traverse a remote area toward undulating hills , with blue sky in the background .
7596563022.jpg| 4| Two men in jockey uniforms racing horses .
4476210151.jpg| 0| A boy and a girl are seen , from below , inside a horizontally-suspended tire which attached by a three chains to a horizontal support .
807129.jpg| 4| Man playing a tune on his flute .
3555573680.jpg| 4| A man riding a wakeboard on a lake
7302553732.jpg| 4| A boy sitting and playing in the sand .
4824078556.jpg| 4| A photo shoot of two women .
4510129002.jpg| 1| A man and woman walking with three dogs and a man in a yellow jacket in the background .
4953761534.jpg| 3| A blue-haired girl plays guitar on the sidewalk .
4410366569.jpg| 4| two people looking at a computer .
2501968935.jpg| 0| There is a man in a purple shirt , leather chaps and a red bandanna , standing near other men .
2057306459.jpg| 2| The parachutist is standing in a field near to his unfurled parachute .
4379588756.jpg| 3| A group of people are running in the cold .
3945049632.jpg| 4| People wait for their luggage at an airport .
4672056076.jpg| 0| A guy wearing a white shirt and hat is outside standing only on his one hand , while his legs are up in the air .
4212865709.jpg| 4| Two men are working on a railroad track .
1558277287.jpg| 4| A baby is sleeping with a stuffed animal .
7130336193.jpg| 3| Two boys practicing passing a soccer ball .
3044125918.jpg| 3| Asian man working in meat processing place .
4565044083.jpg| 4| Three people sitting outside and enjoying the day .
2965376213.jpg| 2| Child dressed in blue shirt lying on the road
3683592946.jpg| 1| An adult duck stands on a rock with seven baby ducks nearby .
807078665.jpg| 3| A guitarist and a drummer play on stage for an audience .
4727548713.jpg| 0| A man in a collared striped shirt is looking at something while standing near empty alcoholic bottles .
1512770347.jpg| 2| An Asian man hanging a framed photograph while a woman watches .
757086242.jpg| 3| People stand around at some sort of gathering .
3143982558.jpg| 2| A baby in pink , striped clothing is sitting near an older lady wearing red and black .
7024967087.jpg| 2| Three people running through the mud with people in the background .
3736366270.jpg| 0| A dark-skinned man in traditional African garb stares into the camera , his right eye appears to have a cataract .
3560503470.jpg| 1| A row of bicycles , and people sitting on a dock , near the waterside .
412813270.jpg| 3| A male is fixing him some chicken or turkey .
3189307452.jpg| 0| a white dog with brown and black markings frolics in snow .
964197865.jpg| 0| A blond toddler placing his mouth on the edge of a red plastic toy .
459538095.jpg| 1| A man in a red shirt is on a computer and another man is sitting near him .
127450902.jpg| 4| The sun is almost behind the snowy mountains .
8183107966.jpg| 1| Man on cellphone walking in front of silver car next to green grass .
1318903794.jpg| 1| Africans walk down a road carrying their belongings .
2280354512.jpg| 2| A dog is being hit by a small wave in the ocean .
559065775.jpg| 1| An elderly man in an orange shirt and green shorts walks past a building decorated with graffiti .
3045769443.jpg| 1| A man in a blue sweatshirt holding a polaroid photograph in a colorful room .
3288274849.jpg| 4| A snowboarder glides down a stair rail .
4716376540.jpg| 3| The woman is pulling a wheelie on her motorcycle .
141186473.jpg| 2| A woman in a blue blouse is handling a pink purse .
7729005930.jpg| 3| This is a red and white sports car going down a dirt road .
4789705901.jpg| 3| a young mother carrying her sleeping daughter .
3894241635.jpg| 3| Two men and two boys look over the deck of a boat .
3874461466.jpg| 1| A street musician sits alone , playing the guitar and other instruments .
3316045142.jpg| 1| A woman , with clenched teeth , is holding her fork like she is going to stab the man sitting at her table with her .
3308585486.jpg| 0| A young adult male wearing a black t-shirt and blue jeans , performing a skateboard trick in a urban residential setting .
4419325681.jpg| 4| An Asian person sitting along side of two large cloth sacks .
5218130090.jpg| 1| Woman wearing green pants , blue jacket and sunhat carrying food in baskets that are hung over her shoulder .
2916920568.jpg| 0| A number of people holding black trash bags walk along a beachfront including several young boys wearing royal blue t-shirts .
184477778.jpg| 0| The back-view of a group of people looking at fireworks .
6315843581.jpg| 0| 2 male swimmers training , with one of them wearing a blue hat , and one of them wearing a red hat .
1388970365.jpg| 1| A brown dog and two black dogs in an overgrown grassy field .
6342578701.jpg| 4| Two teams playing a game of football .
3033741581.jpg| 4| a young boy playing in a pool .
430964917.jpg| 1| A person wearing a blue and white coat rides a bicycle down the street .
106372282.jpg| 2| An all yellow photo of two men sitting in a bakery .
4552208437.jpg| 0| A man in a black hooded sweater stands behind a rich variety of fruits and vegetables .
4330521713.jpg| 3| Men in snow , one looking at the camera and the other reading a journal .
7645672462.jpg| 1| A woman wearing orange and black participating in a bike race gets ahead of a man in red and white .
23012542.jpg| 4| A woman dressed all in white plays tennis .
4913033344.jpg| 4| Five women sitting on a bench .
4730135526.jpg| 0|" A crowd of protesters in the street holding up peace signs an holding signs saying "" stop killing in Iran . """
3017373346.jpg| 1| Two dogs are sniffing each other while standing in a body of water .
348731916.jpg| 0| A middle-aged woman wearing a black sleeveless blouse applies mascara in a mirror .
4869824245.jpg| 0| traffic is present on the road and people are waiting to cross the road .
316715385.jpg| 0| Two monks in saffron colored robes cross a busy urban street , where colorful cars , some pink , blue and yellow , wait at the crosswalk for the men to cross .
4710990069.jpg| 0| adult with red boots and purse walking down the street next to a brink wall .
4787655421.jpg| 3| A man recreates a joust from mid-evil times .
2639766602.jpg| 4| Two men taking a walk during towards canal .
27323284.jpg| 0| A man is standing in a park by a path holding a tennis racket in front of him .
7364986488.jpg| 3| A motorcyclist is making a right turn .
2646540383.jpg| 3| a boy jumps onto a inflatable water slide
2169709244.jpg| 3| Little girl in a blue dress riding a red toy tractor .
275169881.jpg| 2| A woman is showing a man something on her cellphone in the middle of a busy street .
3613667665.jpg| 4| Dogs run in the surf .
2386938131.jpg| 2| A woman is looking on the food she kept in the glass box .
358355700.jpg| 2| A group of children and their parents are in front of a bounce house in the shape of a castle .
301608837.jpg| 0| The young , blond-haired child playing on the outdoor play gym is preparing to slide down the firehouse pole .
4982004148.jpg| 4| A man in chef 's hat talking to people from under an umbrella .
136399365.jpg| 4| Craft vendor on a cellphone .
2503678250.jpg| 0| A young boy in a striped shirt witting with his dog , reading a book .
3260214530.jpg| 3| A woman holds a little girl next to a large wooden carving of a bear .
3316120400.jpg| 3| Asian male in a blue shirt plays the cello .
393987665.jpg| 1| Woman in red coat buying something from a street vendor .
1418257247.jpg| 2| There are several different bicycles sitting in front of several shops .
3557886648.jpg| 2| The boxer with orange gloves is hitting the guy with the blue helmet .
3419916411.jpg| 1| A yellow dog is running in a field near a mountain .
3584860179.jpg| 2| A lone old man sitting on a white chair in front of a gate .
7790582718.jpg| 2| The Olympics running event shoot from far away to show the massive crowd .
4567068658.jpg| 1| Girl holding clear plastic container with water , while four other kids watch .
3202360797.jpg| 1| A young dog walking through the snow in a tire track .
281706216.jpg| 2| A man uses a shovel to dig in a green field .
435802277.jpg| 0| Gymnast in green and black supporting herself upside down with her arms in a split position on the parallel bar .
7301265688.jpg| 4| A man working at a workbench .
401079494.jpg| 0| Two black poodles playfully tussle on a grassy , manicured lawn .
249394748.jpg| 2| Two white dogs run through the grass .
124880336.jpg| 2| Three men in tribal masks are sitting down with one another .
485357535.jpg| 3| A skateboarder examines the Hollywood Walk of Fame .
105493628.jpg| 1| Food sits on white plates in front of wineglasses and a wine rack .
253762507.jpg| 1| A security man guards the door as another one brings his items off .
4969460165.jpg| 1| A group of young adults in a basketball court outside a fair ground .
4811895528.jpg| 4| Homeless man in colorful alcove .
2940427692.jpg| 4| little boy on beach with yellow shovel
6523865937.jpg| 4| Asian man shooting a gun in between rocks .
6978226931.jpg| 1| drummer dressed in a brown shirt playing multicolored drums .
2587818583.jpg| 1| two men are watching three children playing in a ball pit full of colored balls .
446471467.jpg| 3| A group of women is walking on a sidewalk .
4559823713.jpg| 1| A man in a green jacket stands in front of a wall that has a word spray painted on it .
6703928187.jpg| 2| A boy in a green camouflage jumper wipes a mop across a tile floor .
2412390588.jpg| 0| A child in a red longsleeve shirt is pointing at the red tulips .
4911985199.jpg| 4| A hispanic woman is standing by motorcycles .
2522467011.jpg| 1| A girl in a red and white dress is playing with hula hoops .
2708176152.jpg| 2| A group of people in a bicycle race .
3749974168.jpg| 2| A man smoking a cigarette outside of a store .
4668157654.jpg| 0| One person in black leaning against a building in a sliver of sunshine .
6196180784.jpg| 3| A man and a woman get dressed in a messy bedroom .
7651090648.jpg| 3| A woman is giving a speech for the Women 's Bureau .
563803038.jpg| 2| A man cooking is cooking on his barbecue .
4797991515.jpg| 4| A man looking through a telescope as a child watches .
2407865161.jpg| 4| A woman walking under the train track with a Macy 's bag .
5157088977.jpg| 1| A couple young men sit on a stoop in a run-down neighborhood ; one seems to be metalworking .
167282806.jpg| 2| Two guys acting goofy while they drink beer and pose for a camera .
4975268360.jpg| 2| A woman is applying makeup to herself .
3602676311.jpg| 1| The cyclist is making a high jump with his bike .
5831994264.jpg| 2| A woman playing the keyboard and singing awash in a blue light .
2718184776.jpg| 0| Three dark-haired people stand near each other with large buildings in the background .
196522488.jpg| 1| An excavator working at a construction site .
4146533978.jpg| 4| A black man is getting a haircut .
4736134384.jpg| 4| A woman is protesting against pollution .
4469164358.jpg| 1| Here is a picture of a man dressed in clothing form the 1800 's and looks a lot like George Washington .
2120309245.jpg| 0| A woman wearing a white shirt is standing behind a counter .
4439517165.jpg| 1| A woman wearing a blue scarf and sunglasses is leaning against a painted wall , underneath a blossoming tree .
3093094737.jpg| 3| two women sitting , one is in a chair holding a new baby outfit
496380034.jpg| 4| Two dogs are trying to grab a ball .
3859014834.jpg| 1| Multiple people starting to pack their parachutes after a successful skydive .
3621064597.jpg| 1| Four people in costumes stand in a lightly-wooded area while a bystander looks at them .
4469735380.jpg| 0| Two people stand in front of a hot circular grill and a basket of eggs , one cooking the eggs while the other waits for them to be completed
2289711389.jpg| 3| Male food worker grills meat on a stick .
309547276.jpg| 3| An old man staring into the camera while a lady laughs .
4305146644.jpg| 1| Six construction workers are pulling a roof up with ropes .
4636392873.jpg| 1| A man in a black suit with a gray overcoat stands in front of books facing a group of children sitting on the floor .
6126962700.jpg| 3| A crowd of young people clap at a concert .
18171073.jpg| 4| Two women are laughing at an outdoor event .
4528304009.jpg| 4| A child slid home as all the other baseball players looked on .
2381613738.jpg| 4| A blond child riding a tire swing .
3189251454.jpg| 2| A brown dog barks surrounded by white snow .
1410849159.jpg| 2| A black man is holding is hands to the sky in a city .
507370544.jpg| 4| A similarly attired group posing for a group photo-op at this event .
3287969199.jpg| 2| A gray bird is flying over the water .
2882743431.jpg| 3| A brown dog playfully bites a white dog .
378398142.jpg| 2| A young man sits in the entrance to a very small building .
4696863473.jpg| 2| A guy sitting on a bench shirtless looking at his cellphone .
484814224.jpg| 2| A man stands with his father , and shows all the food on his grill .
